"","스트리머","스트레이.키즈","인터넷방송","국내야구","수능","겨울왕국","리그.오브.레전드","만화","기타.국내.드라마","엘소드"
"1","low life for life cuz im heartless","[스밍][강미나갤] <U+2764>미나가 신곡 축하왔다게<U+2764>(설X)","박을까 말까 이거 갑자기 어디서 나온드립?","김건모 피해자는 대체 얼마나 이쁘길래 그런거냐","문과 내신 4등급이면 정시파야하냐?","썸네체 들을때 특","zz","수산시장에서 바가지 안 당하는 방법","여자사먹는 남연예인도 걸레맞고 고급 창남일뿐이니까","누가 양말하냐 ㅋㅋ"
"2","앗...","[2차][드림캐쳐갤]<U+2B50> Deja Vu<U+2B50>로 듴갤에서 신곡 축하왔듴 설X","인방갤 고닉들 본진 스갤로 옮긴 이유가 있네 인방갤 개좆밥ㅋㅋ","아빠와 여시언니..gif","고졸 사법고시 합격 노무현..","지가 먼데 반역이래","존나 어이업내 ㅇㅇ 반고닉 양말트리가 더 예븐거같은대","내마위는 럽코계의 한줄기빛이다","오비맥주, 원료값 인상 압박에 가격 올린다더니...중국산 맥아로 이익 극","달앗다"
"3","혐석이 10원에 룩삼 데려올수도있었네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[스밍][강미나갤] <U+2764>미나가 신곡 축하왔다게<U+2764>(설X)","요새 남순이는 남한테 피해안주는데 케이형 맨날 사고치네;;","여사친한테 메리 클리토리스라고 카톡 보내보고싶네","연고대 수시충 = 씹게이 // 연고대 정시황 = 황제","저 오늘 다이소 갓는데 쿠션 악성재고밖에 없엇음","gd","옛날에는 얘가 그렇게 꼴렸음","이중에 너네가 제일 좋아하는 음식 뭐야?","갤러들커엽네...."
"4","갤주님 14000찍은지 5분도 안돼서 4000ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][아스트로마갤] <U+2721> Blue Flame <U+2721> 스밍왔어요(설쉬)","저거 트위치 롤 아프리카에서넘어간애들 나옴 ?땅우나 희성 ","나연이랑 섹스 vs 모모랑 섹스","니들 나같은 여자 어때?","본인 창동 도착","이상호랑 러너 둘이 싸웠냐?","번역) 장이여 코여 41화","서예지같은 겉빻속빻은 대체 어떤 루트로 여주되는거냐","ㄴㄷㅆ"
"5","호산이가 룩돌리 데려가라.....","[2차][포디콰갤]<U+2744>Comfort<U+2744>신곡축하 왔디콰♬설x'","외질 비키니짤좀 올려주셈 ","한겨울 게이특.jpg","성적표보여줘 형","사람들 넥라띵때 왜 죄다 화장실가냐","토론회 직관간 유튜버 후기.jpg","토라도라 진엔딩..jpg","나는 김수현 박보영 소취햇는데","요즘엔 홀포 시세얼마임?"
"6","2호 유찰ㅋㅋㅋ","[2차][방탄갤]♥Boy With Luv♥신곡 축하를 위한 시♥(설×)","실시간) 하콩이 혼내는 썩순이 ㅋㅋㅋ<U+00A0>","튤앰 현숙이 보지털 정리수준.jpg","반영비가 존나 중요하긴하나보네","대륙 클라스 ㄷ","룸메 패죽이고 싶다 진짜 씨발새끼","내마위 이장면 바키 생각나노","뉴질랜드 화이트섬 화산 분출…최소 5명 사망, 다수 실종(종합) ","룬마 왜이리 게이같지"
"7","야 한동숙 골골팀 가게생겼다ㅋㅋ 옥쌍있는팀","[2차][드림캐쳐갤]<U+2B50> Deja Vu<U+2B50>로 듴갤에서 신곡 축하왔듴 설X","설리는 사실상 자살이아니라.jpg","지하철 앞에년 여성시대하네","내년에 유럽가는데 얼마정도 들고갈까","클톱의 좆집","노랸양말 존나힙하잔어 ㅋㅋ","마영전이나 다시할까","서예지도 허리가 긴 스탈인듯","씨발련들아 오염 너만 오면고"
"8","룩삼 방송용으로 50포정도는 데려갈만한데","[2차][ITZY갤] 남들과는 <U+2728>달라달라<U+2728>신곡 축하 있지<U+2753>있지<U+2757>(설쉬)","와드견보단 슬기빠 드립 써먹어야지","개털리는 장원영.gif","나 서울 송파구사는 김지민이다 하고싶은 말 다해","영화관마다 사람들 분위기가 다르구낭","대사맞추기 (난이도 중)","똥침참기 LV.99","세상에서 제일 심한욕이 뭘까?","눈사람 귀여움ㅋ"
"9","ㄷㅅㅋ 만 몰빵하면 됨 호산이는 이제 ㅋㅋㅋㅋㅋㅋ ㅋㅋ","[2차][이달소갤]<U+2764><U+26C4>이달의 소녀<U+26C4><U+2764>가 신곡 축하를<U+26A1>B#RN<U+26A1>(설쉬)<U+A20D><U+25E1>","와 ㄹㅇ 저라뎃없으니까 방송볼게한개도없네","여동생년 돌핀팬츠 04","ㅎㅎㅎ","재업)넥라띵 모르고 보면 아무 감흥 없음","떳노 뭐떳노","대학 내일 나와야 되는거 오늘 나옴","강용석한테 관심 그만줘 미친년들아","눈사람딱한번만써본다"
"10","노룩넌~노룩넌~","[2차][배진영마갤]<U+2744>순수의 시대<U+2744>신곡축하왔진영(설x)(♡)","이래서 여초커뮤니티가 ㄴㅈ이지 남초가재밋긴해","병신같은 씹게이새키들 주렁주렁 단새키들 차단 ㄱ","헬스 두달정도 하면 10킬로 뺄수있음?","한스 바지 왜 저렇게 꽉낌","나 이젠 드래곤X 응원하기로햇서..","가장 최근 본 재밌는 보빔만화 하나","미주,타투샵 인생 망쳐놓고 도망간 아이돌","<U+2603>+<U+2603>+<U+2603>+<U+2603>+<U+2603>+<U+2603>+<U+2603>+<U+2603>+<U+2603>+<U+2603>+<U+2603>+<U+2603>+<U+2603>+<U+2603>+"
