"","스트리머","수능","남자연예인","만화","리그.오브.레전드","기타.국내.드라마","아이돌마스터","프로듀스.X.101","국내야구","판타지"
"1","재넌 롤잘하는앤지 몰랐네","우리학교 수시납치 레전드설,,,","사주도 그랬자나","천선 존나 만만해 보이네","마스터 이상 부캐두오 하실분??","방탄 하는 꼬라지 보니까 동방꼴 나겠네","인간트리","머해야돼","재니 반사판 받은 나봉쓰..jpg","지고불변 사실 안봤는데"
"2","딜서폿) 라인전 로밍 맵리 귀찮은건 하기 싫도 딜만 넣고 싶음","밤늦게 발표하는 입학처는 뭐냐 ㄹㅇ","애미 법공부시키는 순간 불효자되는거긔ㅋㅋㅋㅋㅋ","닉넴옆에 뜨는거 500원짜리 가챠만 해도 서버비뽑을듯ㅋㅋ","듀라한 아직 다 안빠졋네","매출 언플은 장난아닌데 자기에게 수익 조금오면 현타오지","엔자씹새끼들 돗캉인지 돗탄인지 그거 적자매꾸려고","복단온냐 설마 민초도 배척함?????","좃탄은 회사가 존나 띄어준거 아니엇노?.gif","n"
"3","공현준 600 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ","우리학교 설의넣은애한테 붙었냐고 물어봤거든??ㅎㅎㅎ","지금 현상황 뿡보다 더 좆되는 그룹.txt","오랜만에 스타리그 보는중","어느 라인이 캐리력 젤높음?","방탄 멤버들이 잘났으면 삼대기획사에서 모셔갔겠지","할 일이 많은데 졸려","밍 와꾸가 너무","야붕이 아쿠아리움 왔다24.jpg","저도 고등학교 때 BL물 보다가 선생님한테 걸렸는데"
"4","지수소녀 에이스 아닌데?","대학이 인생의 전부는 아님","지난주에 로펌으로 새로운 사건수임 됐다는데","좆더러운새끼 침 다 묻히면서 쳐먹네","이거왜묻힘?","아이돌은 솔로 안되면 멤버 한명이랑 팀짜서 활동하는게 최선이야","돈에미친 엔자놈들","jtbc 뿡 네캐 지웠대ㅋㅋㅋㅋㅋㅋㅋ","방탄도 지금 은퇴하면 평생 먹고 살수잌ㅅ냐?","ㄴ 고닉일시 노무현의 예아를 평생못들음"
"5","혜요 바텀 상성도모르나","아시발 지잡대 옵챗에서 킼단했네","좆국에서 봊은 무조건 금수저로 태어나야하는듯 이쁜거 필요없고","이쁘면 개추","정글 개백정시대는 대체언제도래할까","성범죄자 카페 개업","댄미미는 한방 터트리는 쾌감이 있긴함","골디 빡셌음?","매실절임 ㅋㅋㅋ","제가 딱 5분만보여주겠습니다"
"6","강소연 롤하는거 올만에 보는데 실력 존나늘었네","근데 02들은 재수하면 공부 어케함?","최후의 승자는 씹소였노","여중생 딱풀ㅈㅇ.GIF","마유미 엉덩이 왜캐이쁨? 시발 하루죙일 드럼마냥 쿵짝쿵짝 리듬타고싶네","워너원 누가 주작인지 왜 안밝힘 ㅡㅡ","제 실명 깜","복숭아 녹차 카페인 테러라던데","방탄 = 유명한걸로 유명","이런말해도될지 고심하다 해보는데 이중성은 다들있는거아님?"
"7","공혁준 이 씨발넘 방송 망한 이유가 있어","일본애들은 한자로 숫자도 적네","뿡셬 스트레스받아서 밥더먹으면어카노 ","일본 만화 속 금수저 주인공들 정리","롤망호 4/5 너만오면 ㄱ 민식박준식엄 친추 ㄱㄱ","방탄은 그정도 월클됐는데","훈련소에서 게임에서 나올법한 특수부대에서 오퍼 오면 놀랄거다","뿡 그러니까 100만원 줘야하는거 20만원준거임","전국노래자랑.....정색.....레전드........gif","갤 볼때마다 느끼는데 난 정말 클린한 갤러같다"
"8","하프 듀라한vs딜서폿 누가 더 극혐임?","본인 기출분석해야하는데 어케하노??","뿡 화용신이라 운빨 다했다는거 진짜였나ㄷㄷ","""정사를 벌이면 번영하고 놓치면 멸망한다....""","오늘 정글하는데 미드가 카사딘 선픽 박길랭","긷줌들은 당연히 방시혁편들지;;;;","사령부 가면 되는데 그걸 왜 고민함","씹소 7년빨고 섹스원으로 갈아탔는데ㅋㅋㅋ","매실 과육 맛있겠노 ㅋㅋ","크리스마스란 몰까"
"9","공혁준 포켓몬하니까 방송키네 ㅋㅋㅋㅋ","전국 4년제 대학교 대기업 취업률","디패 누구편 들어줄지 기대됨 뿡 개같이 패는 기사나올까","아 진짜 시바 왜 난 돈만 있으면 써대는 거디","탑 원딜 서폿은 압수할게 뭐있냐?","노사연 이무송 정도면 행복한거 아닌가","카렌3차 유출됐을 때 아이코 3차 유닛쓰알 당하겠구나 했는데","내새끼 셀카올려","외국 kpop 현실....ㄹㅇ","와 씹 개꼴리는 짤 찾음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"10","역대 자낳대 혜요가 거쳐간 팀...JPG","2020학년도 입학을 앞두신 여러분","백현은 지금도 야단맞는대잖아","닉네임에 트리 어떻게 달음?","개백정새끼들 진짜 블루없으면 힘든줄암ㅋㅋㅋ","단군이래 1군남자아이돌중에서","겨우 후유코보고 인간트리라니","뿡 순식간에 실검 4개 입성함","니코틴 소년단에서 킹탄만들어줬더니 소송 ㅋㅋㅋㅋㅋ","==============(햇츙 채집 완료)=============="
