"","국내야구","스트레이.키즈","프로듀스.X.101","만화","수능","스트리머","기타.국내.드라마","리그.오브.레전드","대출","겨울왕국"
"1","김정일도 픽한 김연자인데 ㅋㅋㅋㅋㅋㅋㅋ","[2차][러블리즈갤]<U+2B50>Moonlight<U+2B50>신곡 축하왔어요(^_^)설쉬","엘사인데, 김우석이 엘사보다 이쁜겄갓긔","난 어릴적 초과학을 동경했어","수능 평균5등급이 1년만에 연고대가는애니추천좀","루사언니 모르겠으니까 채팅창 여는거 레전드 ㅋㅋㅋㅋ","뷥 개막장 드라마 ","이유없이 비추 폭탄 ㄱ","파봏형 제가 대갤에 나름 신용도잇고 응원론길게햇는데대나여","(유머)엘사가 놀리면??"
"2","절며절며 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[황윤성마갤] <U+2763>쁘띠<U+2763>가 신곡축하왔<U+2728>윤성<U+2728>(설쉬)(\&@)","ㅇ","술담배는 시간이 해결해주는듯","“얘를 슬프게 하는 놈은 아주씨발 담가버린다”","포켓몬도 컨트롤덱이있냐","부사장 본처한테 자식이 없어?","4용 뺏기면 백정애미 칼로찔러죽여도 무죄 ㅇㅈ하냐?","나 좆목들구제안한다 씨발 ㅋㅋㅋ","벗겼더니 가슴 개크네"
"3","야요미가 더 잘부르는데?","[2차][포디콰갤]<U+2744>Comfort<U+2744>신곡축하 왔디콰♬설x","끄붕이 트리랑 눈사람 달고싶긔","부엌에 바퀴벌레 3마리 돌아다니는거 보고식겁했다","공부잘하는애들중에 미친놈 많은건 팩트임","노돌리 던 거르고 짬타 공 고른건솔직히에바다","이상윤 놈로맨틱해","ㄴ 이유없이 개추 폭탄","깔끔하고 공정하게 배식하겟슴니다 한븐만요","싱어롱 하면 어디서 해야 국룰이냐?"
"4","와 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","[황윤성마갤] <U+2763>쁘띠<U+2763>가 신곡축하왔<U+2728>윤성<U+2728>(설쉬)$%#","고닉깅이들아 알록달록한 윾동이들은 패지마ㅡㅡ","우욱씹 하는애들 좀 게이같음 ","아 마크 스카이블럭 하고 싶다 ㅋㅋ","왜냐맨 vs 래퍼드 누가더 코칭 잘함?","이상윤은 쟤랑 잘어울린다","고양이 괴롭히는 짤들은 어디서 볼 수 있냐?","배식 후보자 댓글 달아라","제발 더빙 싱어롱 앙망한다"
"5","빡겜하시네 ㅋㅋㅋ","[황윤성마갤] <U+2763>쁘띠<U+2763>가 신곡축하왔<U+2728>윤성<U+2728>(설쉬)(\","눈사람 놈들 자꾸 콘으로 헷갈려","그 아다가키 아키? 이년 나오는 만화 제목이 머였지","공부 착실히 꾸준하게 해서 실력 쌓는 재미가 있네","룩공 실력차 확실하네ㅋㅋ","내가... 니 옆에 있을께","뼛속까지 탑솔러","ㅋㅋ 1월 7일에 군대간다..형들 눈물나네..알바만하다","나이드니까 645니 싱어롱이니 먼가 전보다 별로임"
"6","저게 트로트다","[2차][AB6IX갤]♥BLIND FOR LOVE♥신곡축하왔에삐<U+2764>(설X)","선물상자 왜 안되농","버밀리오콘 오늘 만든 건데 쓰쉴?","↑현실에서도 이지랄하고 다니니까 친구가 없지 ㅋㅋㅋ","근데 얼귀 역겹긴 하네","애미뒤진거보다 이상윤온게 더 기쁠듯 ㅇㅇ","강간 당해서 멘탈나간 고딩녀","윷놀이 7시간하신분?","싱어롱 그 많은 사람이 입김 뿜어대면"
"7","이악물고 부르넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[황윤성마갤] <U+2763>쁘띠<U+2763>가 신곡축하왔<U+2728>윤성<U+2728>(설쉬)(특문)","온냐들 이정도면 반고로 쳐줌????","귀귀가 그린 드래곤볼 아냐","현재 중3 수붕이 질문좀","혜요 씨발년이 룩삼은 0원이야 개년아","긷줌들 유독 불륜에 열폭심해 ㅇㅇ",".","걍 구제받는겸 제가 배식하겠습니다","어차피 이번건 645 해봣자 드립할거도없어"
"8","요요미 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][AB6IX갤]♥BLIND FOR LOVE♥신곡축하왔에삐<U+2764>(설X)","엓 flash랑 이거랑 비슷하지않아?","서울대.... 떳냐?","홍대 붙여주면 네발로 기어드갈 자신잇음","귀엽긴해 ㅋㅋ","세기의사랑이네","아니시발 서포터새끼들 딴건다참겟는데 시에스 처먹는건 못참겟더라","아무나 배식시켜주세요 파볼형 ㄱㅅㄱㅅㅅㅅㅅ","심야로 보면 무슨영화던 항시 싱alone 할 수 있는 영화관"
"9","당신은철사룰로두손꽁꽁ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][정동하갤]<U+2764>이별을노래로만들어보았습니다♥신곡축하(설쉬)","망구들 앰 80프로 빠져도 윙보단 잘팜","찌그러진핑크빈콘 너무중독성강해..","잘생기면 조용한 찐이어도댐","씨발 그만 징징대 잡년아~","그래 남자답게 정면돌파해야지","LCK 전성기...jpg","딸렐이 배식하면 좆목들만 다 받을건데 다들 포기해라 ㅋㅋ","야 니들 당연히 6시45분꺼 가겠지?"
"10","잘하느ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][정동하갤]<U+2764>이별을노래로만들어보았습니다♥신곡축하(설쉬)","앨범사고 팬싸다니면"," 만갤 틀딱들 다 죽여버리고싶은데 어쩌지","다서울대야씨발","예전에 고닉중에 얼음귀신 있지 않음??","이거 첩자식 거르고 만나라는 드라마냐","실시간 본인 카톡 상황...jpg","대리배팅해주러갈께요 ㅂ","근데 645? 뭐임"
"11","빡겜하노","[2차][정동하갤]<U+2764>이별을노래로만들어보았습니다♥신곡축하(설쉬)","김우석 앰인데, 엘사로 갈아탓긔",".","대졸이 취업할때","ㅂㅅ들아 혜요는 와꾸 얼굴담당이니 200은 썻어야지 ㅅㅂ","아 시발새끼야","올스타 여성 관객 팬티 노출","파볼형 저번에 배식정했을때 이누형1위 제가2위였는데","요"
