"","국내야구","만화","기타.국내.드라마","수능","대출","프로듀스.X.101","인터넷방송","겨울왕국","리그.오브.레전드","아이돌마스터"
"1","라면 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","안에다 싸구왓음ㅋㅋ","진짜 여배우들 어중간한 급이 시집 좃나 잘감","본인특)00인데 술 담배 안함","가축고수형 하나팁알려줄까????","슼창년들 왜저래 배척하자 ","이경민이 풍이 안터진다고?풍땜에 한숨쉰다고?","롯시 아직도 그립톡 남아있나??","챔피언스리그 바이에른 VS 토튼햄 해외베당","양말도 나름 귀여워"
"2","떡재석ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","요즘폰겜정말할거없음","의사는 사람의 생명을 다루는데 감정기복이 심하면안되지","요즘 기출은 다항함수면 변곡점×3 이런거","우앙.. 기부니가좋아요","신박 탑3","이상호 오늘 민교한테 털리고 성태한테도 털리노 ㅋㅋㅋㅋㅋㅋㅋㅋ","딴거덕질하다보며 느낀거고 다들알겠지만","내 사주 십성 구성은","ㅇ"
"3","라면 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","무중력 보이즈 불법번역을 기다리고 있어요","성씨중에 이유없이 비호감인성씨","과기대는 왜 맨날 까이기만 하냐","롤 승급하고 싶은데 다이아 이상있나요...","초코비 먹어봣는데 별로 맛없엇긔","볼꺼 ㅈㄴ없노","여왕님 쿠션 오디서팔아..?","is신작) 단검으로 신생아 참수","ㄴ갤러콘 없으면 아카리 성대 2스택"
"4","한녀찌깨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","미키콘 만들었는데 솔직히 이거 하나밖에 안씀ㅋㅋ","이윤지 그와중에 의사 걱정?염려?하는거 대단한듯","쯔증느니끄 믈글지므르","가축고수형 근데 형 한번에 너무많이 걸어 ㅠㅜㅠㅠㅠ","예븐 이모지 업냐 ㅋ","오 남순이 오늘 직원팔이로 잘하면 만따리 찍겠노 ㄷㄷㄷㄷ","슬슬 자고 내일 영접하러가야지","고양이괴롭히는짤","아니 풍선때는 병신이라고 욕하더니 ㅋㅋㅋㅋㅋ"
"5","사리도 넣었오 ㅋㅋㅋㅋ","픽시브 슈텐도지를 좀 많이 검색하긴 했는데","이윤지 ㅋㅋ애하나잇으면되지","수능시험지랑 답지들고 고3때로돌아가고싶다","나이지리아무 ㅅㅅㅅ","위에 글올라올때까지 비추 0도전","와..케이형 오늘 모바일비율뭐야 너무무리하는거아니야?ㅋㅋㅋ","디즈니 주식 산 갤럼있음?","부산....옷벗고 랩하는.... ㅗㅜㅑ","아니 디시콘리세마라 머여ㅋㅋㅋ"
"6","둡 ㅋㅋㅋ","성진이는 대학교 어디나왔어","손예진 현빈 짤","↑윗글 작성자의 고추사진","강남 오슬로 지아 후기론 아무도 안하냥","칼푹찍","이경민 흑화 츠퀴들이 토끼예나 사심충들보다 무섭네","메가박스 지류티켓 2주 전꺼 뽑아달라하면 뽑아줄까?","인증)162에 80인데 회생 가능하냐..","환경조아 아저씨가 기도라 대가리가지고 뭘 어떻게 했나?"
"7","라면ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","내일부터 진짜 진짜 ""진심 금딸"" 간다","이윤지  애기 낳기 힘들었음??","수갤에 정신병자있냐??","5빌되냐. .","케케켘켘ㅋ","케이 PC 모바일 비율 좀 의심스럽긴하네","아님 전투복이라도 입고가","전세계에서 리신 제일 잘하는 사람이 그라이팩스 아님?","템보고 챔프맞추기"
"8","찌개 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","헤도로양 보십쇼","표예진 뭔가 배우보다는 아이돌상 같음","(골든벨) 게임 유저들이 정보공유나 협동을 위해 만든 모임은?","가축고수형 초창기멤버 저용","초코비먹구싶군아ㅋ","아니 박씨 비제이들은 하나같이 왜 저모양들이냐?","[프갤문학/중편] 그 이후의 이야기 #1","루시안 질문좀","ㄴ파란트리면 아카리 성대"
"9","라면 아 ㅋㅋㅋㅋ","거유 후배를 최면으로 잠재운 후...","방탄소송하면 계약어떻게했는지 밝혀지긴하겠다 ㅋ팬들도 모르고있는거같은데","울고 싶지 않아","와 ㅋ  진짜 오랜만이네 ~","뿌이부이뿌이 ㅋ","와 광어 채팅 80% 메갈리안 맘충  ㅋㅋㅋㅋㅋㅋㅋ","프붕이 프뽕안빠져서 노래방에서 렛잇고불러봤다....voice","아무무버프좀해줘라","유튜브에 마마~ 저스트라고 검색했더니 보헤미안 뜸 ㅋㅋㅋㅋㅋ"
"10","찌개 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","버밀리오는 작가가 케릭터를 너무 잘 잡았다","이윤지 저렇게 멀쩡한 멘탈인게 다행이다 ㅜ","입결볼려년 고속에서 누백보명됨?","가축고수형 으로 돌아오셨구나 ㅅㅅㅅㅅㅅㅅㅅ","찐앰 인증해달라며 슼통 개줌마 병신년아 어디갔노 ","거루가 베비 박탈됐다는 확실한 증거","롯시 영화 한번에 그립톡하나냐??","병신보존의 법칙.txt","다시"
