"","국내야구","스트리머","만화","수능","스트레이.키즈","리그.오브.레전드","겨울왕국","대출","메이플스토리","역학"
"1","코형 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","룩삼 밥상 다 차려진거같은데 떠먹을수있냐?","유키오 설레발 레전드 ㅋㅋㅋㅋㅋ","복전이 좆으로 보이냐?","쓸려간 념글 데려옴","""야, 최성원""","안나 짤투척 22","도와줄형읍냐고 13일에 두배준다구","헐 짤 받음 ㅇㅇ","정신 연령 높은 연상남 본 적이 없음 "
"2","맥붕아ㄱ","진짜 그 자리에 옥자였으면 더블데이트에 복학생이랑 눈치없는 여후배 딱인데","다나카 맨날 싱글싱글 웃어도 밤에는 앙앙거리겟지","만화보면 믿고 기다려주는 여친같은거 있던데","[2차][전소미갤] <U+2763>BIRTHDAY<U+2763>신곡 축하왔소미<U+2764>(설x)","진짜 개 화나서 오랜만에 롤갤 들어옴","감기걸린 기념으로 피버보고 자야지","운영준 니애미","사카님-빅라멍눈이 님보고 사귀자하면 바로사귐?","적어라님 "
"3","맥붕이 불쌍하노 ㅋㅋㅋㅋ","재넌 폭탄 아니였네 ㅋㅋ","팀 인간쓰레기에서 올린 유키오 떡인지가 있네","과거는 ㄹㅇ 어느정도 난이도일까","[2차][강미나갤] <U+2764>미나가 신곡 축하왔다게<U+2764>(설X)","Lck에서 선수하는 새끼들은 다 병신아니냐?ㅋㅋㅋ","??? : 브링미 타노스!!!!!!!","동혁아 좀닥쳐","훈련소 어떡하냐근데 ㅋㅋ;;","적어라님 제발 "
"4","존잘이노ㅋㅋㅋㅋㅋ","ㅋㅋㅋㅋㅋ","갤주 기념일 이벤트 뭔데 ㅋㅋㅋㅋ","허수가 무슨 뜻이냐","[2차][강미나갤] <U+2764>미나가 신곡 축하왔다게<U+2764>(설X)","겁에질린아리","사람이 기본적으로 씻는건 당연한건데","광고하는샛기들 싹다 김영득꼴나길","가슴 아픈 사진...jpg","적어라 님>_<"
"5","모둠전 ㅋㅋㅋㅋㅋㅋ","오늘 자낳대 레전드는 박옥자 표정 아니냐ㅋㅋㅋㅋ","농림 시발","드로즈 입으면 발기됬을때 어느정도 커버되냐??","[2차][전소미갤] <U+2763>BIRTHDAY<U+2763>신곡 축하왔소미<U+2764>(설x)","쪼옵...쪼옵...쫍...","현실ㄹㅇ ㅈ같네....","80장 두폴더 남았다","골드애플 까기만해도 손해?","적어라 선생님 "
"6","맥붕이 ㅋㅋㅋㅋㅋㅋ","재넌 방송함?","양키들 취향은 진짜 이해가 안감","대학원 ㅋ","<U+2764><U+2764><U+2764><U+2764><U+2764>신곡 축하와주신 모든 분들 감사합니다<U+2764><U+2764><U+2764><U+2764><U+2764>","ㄴ윗글 저격글일시 니애미 도배","앗 시발....","가축픽 3연타 ㄷㄷㄷㄷ","사실 사카는 패션게이엿던거임...","무술년 인연인데.."
"7","맥붕이ㅋㅋ","솔직히 괴물쥐껴서 혜요랑 같은팀 시켜줬어야 했음","군게 하초보는 맨날 걸리는거같음","↑그건 니 망상이고 병신아","[2차][무소속]신곡 축하드려요!","질싸 인증 레전드 .JPG","이두나 + 이두나 = ?","에혀 씹알 니미 ","이거 대고그린건대 원본잇으신분","감"
"8","모둠전 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","루사는 시즌3에 어떻게 경매를했길래 500포가남았냐 진짜ㅋㅋ","이런 만화 왜 그리는거임","고대 합격 기원 7일차","[2차][무소속]신곡 축하드려요!","생쥐 목욕시키기","수요일 1100만  확정인데?","형들 아직도 구걸해? 이거해서 돈 벌어가 2시간이면 10만원!","요정학원 엘리넬 렙업하기 좋음?","나도 남자 가슴 만져보고싶어"
"9","당연ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","겆줌이 그여자팬다고하면 난 이번만은 겆줌응원함","만붕아 할 말 있어 귀 대봐","논술 부정행위했다고 말해서 불합격되어도 정시 넣을 수 있지?","[2차][김우석마갤]<U+26A1>FLASH<U+26A1>우석이가 신곡 축하왔석 <U+2764>+(설x)(지각","근데 패작하는새끼들 이해 존나안가네","이번 주말은 어케될거 같음?","리베카 늦엇넹","충격적인 비밀","적어라님"
"10","챠오 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","강소연이랑 똥견이랑 과거에 뭔일 있었음?","이거 원작이 만화라면서여..?","시립 낮은과 vs 건국 전화기","[2차][오마이걸갤]<U+2764>게릴라<U+2764>신곡축하를<U+2764>Do it Do it<U+2764>(°°)설쉬","달린다","상영 끝난 영화 결제수단 변경 못함??","물이나받아야겟다","개굴가입신청","결국 날이 지낫네ㅠ"
"11","쟤들은 배고픈 연인들이네ㅋㅋㅋ","근데 진짜 자낳대 씨발 드러눕는 챔피언밖에 안함","스펙트럴 위자드 보세요","조기발표 한개도 안해주네 ㄷㄷ","[2차][X1리얼리티갤] <U+2708>FLA<U+26A1>H로 비상<U+2708> 신곡축하왔스ONE<U+2764>(설X)","ㄴ 고양이일시 자러감","체크 남방 나만 이쁘냐??","가축형 이와중에도 우상향 기원합니다ㅅㅅ ㅅㅅ","퀴어축제한번열어서 전술폭격 해야함 ㅇㅇ","적어라님 "
"12","코둠전 ㅋㅋㅋ","공돼지 씨발새끼는 왜 방송끄고 스크림함??","마술선배 키타~~~~","지거국도 지잡이냐?","[2차][X1리얼리티갤] <U+2708>FLA<U+26A1>H로 비상<U+2708> 신곡축하왔스ONE<U+2764>(설X)","정복자 레전드 모음","이두나 말고 삼두나 하면 안됨?","메비우후스형님안연ㅇ하십니가충ㄹ잉성인사바갓ㅂ닣ㅇㅂ내대","일하다 급하게 수업듣는 누나...jpg","적어라님!"
